mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1					0
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2					0
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	3					
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6			
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	4					
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	4	3		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	5					
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	6					0
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	7					0
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	8					
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	#			
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	9					
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	10					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	11					
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	7			
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	12					
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	13					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	14					1
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	9	#		
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	15					
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	8			
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	5			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	16					
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	17					
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	18					
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	19					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	20					
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	21					
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6			
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	22					
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	4		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	23					
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	5	#		
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	24					
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	25					
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	26					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	27					
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	28					
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	29					
5	5	19	19	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	4\			
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	30					
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	31					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	32					
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	33					
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	34					
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	35					
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6\			
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	36					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	37					
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6h			
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	38					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	39					
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	40					2
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	41					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	42					
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6			
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	43					
7	7	25	25	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	5h	#		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	44					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	45					
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	46					
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	47					
