mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	4
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		0	60	C4	4	0
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	5
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	60	C4	4	1
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	48	C3	3	6
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	2
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	7
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	3
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		5	47	B2	2	11
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	8
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	12
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	9
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-1	41	F2	2	13
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	10
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		0	48	C3	3	16
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	14
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	17
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	15
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	22
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	18
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	23
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	19
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	24
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	20
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	25
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	21
5	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	29
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	26
5	5	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	30
5	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	27
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	54	F#3	3	31
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	28
6	6	20	20	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	34
6	6	20	20	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	32
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	35
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	33
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	40
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	36
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	41
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	37
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	41	F2	2	42
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	38
7	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	43
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	39
8	8	28	28	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	41	F2	2	47
8	8	28	28	1.0	0	0	4/4	1	1	1/4	1/4	1		-1	65	F4	4	44
8	8	29	29	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	43	G2	2	48
8	8	29	29	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	45
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		0	48	C3	3	49
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	60	C4	4	46
9	9	33	33	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	53
9	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	50
9	9	34	34	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	54
9	9	34	34	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	51
9	9	35	35	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	53	F3	3	55
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	52
10	10	36	36	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	59
10	10	36	36	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	56
10	10	37	37	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	43	G2	2	60
10	10	37	37	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	57
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		0	48	C3	3	61
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	60	C4	4	58
11	11	41	41	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	40	E2	2	65
11	11	41	41	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	62
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	36	C2	2	66
11	11	42	42	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	63
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	41	F2	2	67
11	11	43	43	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	64
12	12	44	44	1.0	0	0	4/4	2	1	1/4	1/4	1		1	43	G2	2	71
12	12	44	44	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	68
12	12	45	45	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		8	44	G#2	2	72
12	12	45	45	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	69
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	73
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	60	C4	4	70
13	13	48	48	1.0	0	0	4/4	2	1	1/4	1/4	1		1	43	G2	2	77
13	13	48	48	1.0	0	0	4/4	1	1	1/4	1/4	1		2	62	D4	4	74
13	13	49	49	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		0	48	C3	3	78
13	13	49	49	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	75
13	13	50	50	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-1	65	F4	4	76
13	13	51	51	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	79
14	14	52	52	2.0	0	0	4/4	2	1	1/2	1/2	1		0	48	C3	3	82
14	14	52	52	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4	80
14	14	55	55	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	83
14	14	55	55	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	81
15	15	56	56	0.5	0	0	4/4	2	1	1/8	1/8	1		-1	53	F3	3	87
15	15	56	56	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	84
15	15	113/2	113/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52	E3	3	88
15	15	57	57	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	89
15	15	57	57	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	85
15	15	58	58	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		0	48	C3	3	90
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	86
16	16	61	61	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	95
16	16	61	61	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		0	72	C5	5	91
16	16	123/2	123/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	92
16	16	62	62	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	48	C3	3	96
16	16	62	62	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	93
16	16	63	63	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	43	G2	2	97
16	16	63	63	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	94
17	17	64	64	2.0	0	0	4/4	2	1	1/2	1/2	1		0	48	C3	3	100
17	17	64	64	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	98
17	17	67	67	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	101
17	17	67	67	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	99
18	18	68	68	1.0	0	0	4/4	2	1	1/4	1/4	1		3	45	A2	2	106
18	18	68	68	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	102
18	18	69	69	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	107
18	18	69	69	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	103
18	18	70	70	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	41	F2	2	108
18	18	70	70	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	104
18	18	71	71	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	109
18	18	71	71	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	105
19	19	72	72	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	41	F2	2	113
19	19	72	72	1.0	0	0	4/4	1	1	1/4	1/4	1		-1	65	F4	4	110
19	19	73	73	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	43	G2	2	114
19	19	73	73	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	111
19	19	74	74	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		0	48	C3	3	115
19	19	74	74	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	60	C4	4	112
