mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	3
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	43	G2	2	4
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	1
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	5
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	2
2	2	4	4	0.5	0	0	4/4	2	1	1/8	1/8	1		2	50	D3	3	11
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		6	66	F#4	4	6
2	2	9/2	9/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	48	C3	3	12
2	2	5	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		-2	46	Bb2	2	13
2	2	5	5	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	7
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	45	A2	2	14
2	2	11/2	11/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	8
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	43	G2	2	15
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	9
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	16
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	10
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		1	43	G2	2	19
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	17
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	20
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	18
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	53	F3	3	25
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	21
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	41	F2	2	26
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	22
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	46	Bb2	2	27
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	23
4	4	15	15	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		-3	51	Eb3	3	28
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	24
4	4	31/2	31/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		2	50	D3	3	29
5	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	33
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	30
5	5	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	53	F3	3	34
5	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	31
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-2	46	Bb2	2	35
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	32
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-2	46	Bb2	2	39
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	36
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	40
6	6	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	37
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	41
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	38
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	46
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		-1	77	F5	5	42
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	47
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	43
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-3	51	Eb3	3	48
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	44
7	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	53	F3	3	49
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	45
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		-2	46	Bb2	2	52
8	8	28	28	2.0	0	0	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	50
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-2	46	Bb2	2	53
