mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	3/4	2	1	1/4	1/4	1		-3	39	Eb2	2	3
1	1	0	0	1.0	0	0	3/4	1	1	1/4	1/4	1		-3	63	Eb4	4	0
1	1	1	1	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	4
1	1	1	1	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-3	63	Eb4	4	1
1	1	2	2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	46	Bb2	2	5
1	1	2	2	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	65	F4	4	2
2	2	3	3	1.0	0	0	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	9
2	2	3	3	1.0	0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	6
2	2	4	4	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48	C3	3	10
2	2	4	4	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-4	68	Ab4	4	7
2	2	5	5	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	43	G2	2	11
2	2	5	5	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	8
3	3	6	6	1.0	0	0	3/4	2	1	1/4	1/4	1		-1	41	F2	2	15
3	3	6	6	1.5	0	0	3/4	1	1	3/8	1/4	3/2		-4	68	Ab4	4	12
3	3	7	7	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	46	Bb2	2	16
3	3	15/2	15/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		-4	68	Ab4	4	13
3	3	8	8	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	17
3	3	8	8	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	14
4	4	9	9	3.0	0	0	3/4	2	1	3/4	1/2	3/2		-2	46	Bb2	2	19
4	4	9	9	3.0	0	0	3/4	1	1	3/4	1/2	3/2		-1	65	F4	4	18
5	5	12	12	1.0	0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	23
5	5	12	12	1.0	0	0	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	20
